cauldron_001,cauldron_002,cauldron_003,cauldron_004,cauldron_005,cauldron_006,cauldron_007,cauldron_008,cauldron_009,cauldron_010,cauldron_011,cauldron_012,time
226.98,240.22,276.49,181.53,293.94,160.36,339.56,192.62,2.41,203.81,410.88,174.48,1761782400.0
227.03,240.29,276.62,181.67,293.96,160.39,339.49,192.68,2.59,203.89,410.77,174.62,1761782460.0
227.12,240.46,276.65,181.65,293.94,160.38,339.68,192.71,2.77,204.0,410.82,174.61,1761782520.0
227.21,240.44,276.85,181.64,293.9,160.5,339.76,192.81,2.95,204.0,411.04,174.74,1761782580.0
227.34,240.45,276.86,181.66,293.86,160.53,339.72,192.9,3.13,204.09,411.09,174.75,1761782640.0
227.41,240.49,276.98,181.7,293.9,160.58,339.65,192.98,3.31,204.22,411.38,174.76,1761782700.0
227.54,240.48,277.08,181.72,293.94,160.65,339.89,193.14,3.49,204.22,411.5,174.9,1761782760.0
227.51,240.62,277.21,181.83,294.16,160.65,340.01,193.17,3.67,204.38,411.65,174.98,1761782820.0
227.63,240.67,277.39,181.88,294.2,160.66,339.99,193.28,3.85,204.36,411.72,174.98,1761782880.0
227.67,240.78,277.46,181.92,294.19,160.66,340.25,193.34,4.03,204.38,411.86,175.03,1761782940.0
227.66,240.85,277.48,181.91,294.36,160.77,340.3,193.51,4.21,204.5,411.89,175.04,1761783000.0
227.84,240.88,277.5,182.02,294.37,160.85,340.53,193.58,4.39,204.51,412.03,175.11,1761783060.0
227.84,240.89,277.56,182.15,294.3,160.94,340.79,193.57,4.57,204.68,412.15,175.09,1761783120.0
228.02,240.86,277.74,182.19,294.34,160.93,341.05,193.72,4.75,204.8,412.22,175.22,1761783180.0
228.05,240.86,277.72,182.2,294.44,160.97,341.04,193.88,4.93,204.9,412.28,175.23,1761783240.0
228.15,240.91,277.83,182.19,294.59,160.99,341.08,194.0,5.11,204.97,412.41,174.77,1761783300.0
228.17,241.05,277.79,182.25,294.71,161.05,341.01,194.1,5.29,205.1,412.29,174.31,1761783360.0
228.19,241.18,278.01,182.33,294.74,161.05,341.09,194.22,5.47,205.21,412.58,173.85,1761783420.0
228.23,241.26,278.03,182.47,294.86,161.14,341.21,194.34,5.65,205.3,412.7,173.39,1761783480.0
228.39,241.25,278.1,182.62,294.92,161.26,341.22,194.51,5.83,205.36,412.99,172.93,1761783540.0
228.36,241.2,278.08,182.63,294.86,161.27,341.44,194.5,6.01,205.42,413.1,172.47,1761783600.0
228.36,241.26,278.24,182.73,295.03,161.35,341.52,194.56,6.2,205.54,413.03,172.01,1761783660.0
228.35,241.23,278.35,182.77,294.96,161.41,341.71,194.72,6.37,205.66,412.95,171.55,1761783720.0
228.37,241.27,278.51,182.8,294.92,161.51,341.72,194.83,6.55,205.68,412.92,171.09,1761783780.0
228.43,241.27,278.53,182.86,295.1,161.53,341.92,194.93,6.72,205.77,412.94,170.63,1761783840.0
228.43,241.31,278.74,182.95,295.18,161.64,341.95,195.06,6.9,205.89,413.21,170.17,1761783900.0
228.43,241.43,278.94,182.95,295.19,161.69,341.92,195.15,7.08,205.99,413.27,169.71,1761783960.0
228.58,241.45,278.94,183.04,295.15,161.68,342.11,195.31,7.26,206.16,413.53,169.25,1761784020.0
228.71,241.55,278.97,183.2,295.23,161.68,342.37,195.33,7.44,206.24,413.48,168.79,1761784080.0
228.85,241.6,279.13,183.28,295.29,161.73,342.36,195.44,7.62,206.22,413.69,168.33,1761784140.0
229.04,241.77,279.1,183.26,295.4,161.74,342.58,195.43,7.8,206.31,413.63,167.87,1761784200.0
229.15,241.8,279.32,183.27,295.37,161.8,342.63,195.58,7.98,206.34,413.78,167.41,1761784260.0
229.25,241.88,279.53,183.29,295.58,161.86,342.68,195.71,8.16,206.47,414.05,166.95,1761784320.0
229.42,242.03,279.58,183.41,295.61,161.89,342.88,195.72,8.34,206.45,414.08,166.49,1761784380.0
229.41,242.1,279.6,183.52,295.57,161.99,342.85,195.73,8.52,206.48,414.31,166.03,1761784440.0
229.46,242.05,279.71,183.63,295.64,162.02,342.84,195.82,8.7,206.63,414.4,165.57,1761784500.0
229.61,242.06,279.74,183.7,295.65,162.05,343.02,195.9,8.88,206.71,414.42,165.11,1761784560.0
229.75,242.12,279.71,183.75,295.61,162.13,343.19,195.97,9.06,206.69,414.66,164.65,1761784620.0
229.77,242.31,279.88,183.91,295.66,162.24,343.19,195.97,9.24,206.73,414.82,164.19,1761784680.0
229.93,242.41,279.85,183.98,295.62,162.3,343.22,196.07,9.42,206.87,415.07,163.73,1761784740.0
229.91,242.56,279.89,184.11,295.72,162.31,343.22,196.24,9.61,207.04,415.17,163.27,1761784800.0
230.08,242.66,279.99,184.25,295.86,162.33,343.29,196.33,9.79,207.19,415.25,162.81,1761784860.0
230.12,242.82,280.17,184.24,296.04,162.44,343.42,196.41,9.96,207.18,415.38,162.35,1761784920.0
230.19,242.92,280.22,184.28,296.02,162.44,343.58,196.5,10.14,207.3,415.31,161.89,1761784980.0
230.16,243.03,280.42,184.37,296.21,162.46,343.61,196.58,10.32,207.35,415.25,161.43,1761785040.0
230.2,243.09,280.52,184.41,296.26,162.44,343.74,196.57,10.5,207.34,415.17,160.97,1761785100.0
230.25,243.05,280.49,184.44,296.2,162.51,343.97,196.57,10.69,207.37,415.47,160.51,1761785160.0
230.4,243.22,280.5,184.57,296.23,162.53,344.17,196.74,10.87,207.46,415.54,160.05,1761785220.0
230.48,243.28,280.55,184.69,296.16,162.55,344.22,196.8,11.04,207.59,415.7,159.59,1761785280.0
230.49,243.41,280.69,184.75,296.19,162.59,344.41,196.96,11.23,207.76,415.75,159.13,1761785340.0
230.57,243.36,280.82,184.81,296.28,162.6,344.47,197.08,11.41,207.78,415.84,158.67,1761785400.0
230.69,243.52,280.9,184.82,296.49,162.66,344.5,197.17,11.58,207.94,415.9,158.21,1761785460.0
230.86,243.68,280.99,184.93,296.62,162.79,344.73,197.19,11.76,208.03,416.09,157.75,1761785520.0
230.85,243.68,281.18,184.99,296.73,162.83,344.82,197.24,11.94,208.03,416.21,157.29,1761785580.0
230.88,243.68,281.14,185.08,296.73,162.83,344.8,197.35,12.13,208.08,416.4,156.83,1761785640.0
230.92,243.86,281.21,185.16,296.84,162.83,345.03,197.39,12.31,208.06,416.28,156.37,1761785700.0
230.99,243.97,281.38,185.19,296.89,162.96,345.11,197.46,12.5,208.07,416.36,155.91,1761785760.0
230.96,244.05,281.54,185.25,296.92,163.04,345.34,197.53,12.67,208.06,416.55,155.45,1761785820.0
231.07,244.03,281.59,185.32,297.07,163.12,345.28,197.65,12.85,208.05,416.54,154.99,1761785880.0
231.25,244.19,281.66,185.46,297.26,163.16,345.34,197.8,13.04,208.04,416.77,154.53,1761785940.0
231.36,244.3,281.76,185.63,297.22,163.17,345.29,197.96,13.22,208.1,416.88,154.07,1761786000.0
231.37,244.49,281.8,185.71,297.42,163.25,345.52,198.0,13.4,208.1,416.87,153.61,1761786060.0
231.4,244.63,281.97,185.86,297.64,163.24,345.68,198.11,13.58,208.21,417.12,153.15,1761786120.0
231.38,244.72,282.01,185.97,297.83,163.22,345.85,198.2,13.76,208.32,417.2,152.69,1761786180.0
231.45,244.67,282.12,186.12,297.78,163.35,345.86,198.22,13.94,208.34,417.11,152.23,1761786240.0
231.59,244.71,282.28,186.13,297.9,163.35,345.78,198.35,14.12,208.48,417.41,151.77,1761786300.0
231.61,244.82,282.3,186.3,297.89,163.4,345.99,198.35,14.3,208.57,417.56,151.31,1761786360.0
231.69,244.89,282.27,186.43,297.96,163.4,346.09,198.43,14.48,208.59,417.8,150.85,1761786420.0
231.83,245.0,282.48,186.52,298.01,163.51,346.28,198.52,14.66,208.7,417.92,150.39,1761786480.0
231.81,245.05,282.43,186.52,298.08,163.61,346.23,198.69,14.85,208.77,418.21,149.93,1761786540.0
231.92,245.16,282.55,186.68,298.19,163.67,346.29,198.79,15.03,208.81,418.38,149.47,1761786600.0
232.04,245.15,282.51,186.7,298.28,163.7,346.39,198.86,15.21,208.79,418.48,149.01,1761786660.0
232.17,245.31,282.71,186.84,298.35,163.81,346.65,198.98,15.4,208.8,418.53,148.55,1761786720.0
